latitude,longitude
44.626719,10.879535
44.626653,10.879575
44.626588,10.879615
44.626522,10.879654
44.626456,10.879694
44.626391,10.879734
44.626326,10.879774
44.626293,10.879794
44.626227,10.879834
44.626162,10.879874
44.626097,10.879914
44.626032,10.879954
44.625967,10.879993
44.625902,10.880033
44.625837,10.880073
44.625771,10.880113
44.625706,10.880152
44.625641,10.880192
44.625576,10.880232
44.625511,10.880271
44.625446,10.880311
44.625381,10.880351
44.625316,10.880391
44.625251,10.88043
44.625186,10.88047
44.625121,10.88051
44.625056,10.880549
44.624991,10.880589
44.624925,10.880628
44.62486,10.880667
44.624795,10.880707
44.624731,10.880746
44.624666,10.880785
44.624601,10.880824
44.624537,10.880863
44.624472,10.880902
44.624408,10.880941
44.624344,10.880979
44.624281,10.881018
44.624217,10.881056
44.624153,10.881096
44.624089,10.881134
44.624026,10.881173
44.623963,10.881212
44.6239,10.88125
44.623837,10.881289
44.623773,10.881327
44.62371,10.881366
44.623648,10.881404
44.623585,10.881443
44.623522,10.881482
44.62346,10.88152
44.623398,10.881558
44.623336,10.881596
44.623275,10.881633
44.623213,10.881671
44.623151,10.881708
44.62309,10.881745
44.623029,10.881783
44.622968,10.881819
44.622907,10.881857
44.622846,10.881894
44.622786,10.881931
44.622725,10.881967
44.622665,10.882004
44.622605,10.882041
44.622544,10.882077
44.622484,10.882114
44.622424,10.882151
44.622363,10.882187
44.622303,10.882224
44.622242,10.882261
44.622181,10.882298
44.62212,10.882334
44.622059,10.882371
44.621998,10.882408
44.621937,10.882445
44.621876,10.882482
44.621816,10.88252
44.621756,10.882558
44.621696,10.882597
44.621637,10.882636
44.621577,10.882675
44.621518,10.882715
44.621458,10.882756
44.621401,10.882796
44.621342,10.882839
44.621284,10.882881
44.621225,10.882924
44.621167,10.882969
44.621109,10.883015
44.621052,10.883058
44.620995,10.883103
44.620936,10.883147
44.620878,10.883194
44.620822,10.883241
44.620764,10.883288
44.620707,10.883337
44.62065,10.883385
44.620593,10.883434
44.620536,10.883484
44.620479,10.883534
44.620422,10.883585
44.620366,10.883636
44.620309,10.883687
44.620252,10.883739
44.620196,10.883791
44.62014,10.883844
44.620083,10.883897
44.620027,10.88395
44.61997,10.884005
44.619915,10.884059
44.619859,10.884113
44.619804,10.884169
44.619749,10.884225
44.619694,10.88428
44.61964,10.884337
44.619586,10.884394
44.619532,10.884452
44.619478,10.88451
44.619425,10.884568
44.619372,10.884627
44.61932,10.884687
44.619267,10.884746
44.619215,10.884807
44.619163,10.884867
44.619111,10.884928
44.619059,10.884989
44.619008,10.885051
44.618957,10.885113
44.618906,10.885176
44.618855,10.88524
44.618805,10.885304
44.618755,10.885368
44.618705,10.885433
44.618655,10.885498
44.618606,10.885564
44.618557,10.88563
44.618508,10.885696
44.61846,10.885763
44.618412,10.88583
44.618365,10.885896
44.618318,10.885964
44.618271,10.886031
44.618225,10.886099
44.618179,10.886168
44.618134,10.886236
44.618089,10.886306
44.618045,10.886376
44.618001,10.886447
44.617957,10.886518
44.617914,10.88659
44.61787,10.886662
44.617827,10.886735
44.617784,10.886808
44.617741,10.886881
44.617699,10.886955
44.617656,10.88703
44.617614,10.887105
