v2x_family_id,equipment_id,seq_num,timestamp,fix_mode,latitude,longitude,altitude,qty_SV_used,SemiMajorAxisAccuracy,heading,velocity,time_confidence,time_uncertainty,position_confidence,dd,dd
81,233,82,1634823768817790,3,44.628367,10.948502,72.540222,25,3.000171, ,0.000000, , , ,  0%,
81,233,83,1634823768867795,3,44.628367,10.948502,72.540222,25,3.000171, ,0.000000, , , ,  0%,
81,233,84,1634823768917790,3,44.628367,10.948502,72.540222,25,3.000166, ,0.000000, , , ,  0%,
81,233,85,1634823768967815,3,44.628367,10.948502,72.540222,25,3.000166, ,0.000000, , , ,  0%,
81,233,86,1634823769017784,3,44.628367,10.948502,72.540222,25,3.000171, ,0.000000, , , ,  0%,
81,233,87,1634823769067762,3,44.628367,10.948502,72.540222,25,3.000171, ,0.000000, , , ,  0%,
81,233,88,1634823769117798,3,44.628367,10.948502,72.541809,25,3.000171, ,0.000000, , , ,  0%,
81,233,89,1634823769167796,3,44.628367,10.948502,72.541809,25,3.000171, ,0.000000, , , ,  0%,
81,233,90,1634823769217789,3,44.628367,10.948502,72.541809,25,3.000171, ,0.000000, , , ,  0%,
81,233,91,1634823769268005,3,44.628367,10.948502,72.541809,25,3.000171, ,0.000000, , , ,  0%,
81,233,92,1634823769317817,3,44.628367,10.948502,72.541809,25,3.000171, ,0.000000, , , ,  0%,
81,233,93,1634823769367788,3,44.628367,10.948502,72.541809,25,3.000171, ,0.000000, , , ,  0%,
81,233,94,1634823769417808,3,44.628367,10.948502,72.541809,25,3.000166, ,0.000000, , , ,  0%,
81,233,95,1634823769467814,3,44.628367,10.948502,72.541809,25,3.000166, ,0.000000, , , ,  0%,
81,233,96,1634823769517791,3,44.628367,10.948502,72.541809,24,3.000171, ,0.000000, , , ,  0%,
81,233,97,1634823769567796,3,44.628367,10.948502,72.541809,24,3.000171, ,0.000000, , , ,  0%,
81,233,98,1634823769617820,3,44.628367,10.948502,72.541809,24,3.000166, ,0.000000, , , ,  0%,
81,233,99,1634823769668206,3,44.628367,10.948502,72.541809,24,3.000166, ,0.000000, , , ,  0%,
81,233,100,1634823769717783,3,44.628367,10.948502,72.541748,24,3.000171, ,0.000000, , , ,  0%,
81,233,101,1634823769767808,3,44.628367,10.948502,72.541748,24,3.000171, ,0.000000, , , ,  0%,
81,233,102,1634823769817821,3,44.628367,10.948502,72.541748,24,3.000166, ,0.000000, , , ,  0%,
81,233,103,1634823769867782,3,44.628367,10.948502,72.541748,24,3.000166, ,0.000000, , , ,  0%,
81,233,104,1634823769917799,3,44.628367,10.948502,72.541748,24,3.000171, ,0.000000, , , ,  0%,
81,233,105,1634823769967783,3,44.628367,10.948502,72.541748,24,3.000171, ,0.000000, , , ,  0%,
81,233,106,1634823770017771,3,44.628367,10.948502,72.541748,24,3.000166, ,0.000000, , , ,  0%,
81,233,107,1634823770067778,3,44.628367,10.948502,72.541748,24,3.000166, ,0.000000, , , ,  0%,
81,233,108,1634823770117807,3,44.628367,10.948502,72.542236,23,2.976395, ,0.000000, , , ,  0%,
81,233,109,1634823770167821,3,44.628367,10.948502,72.542236,23,2.976395, ,0.000000, , , ,  0%,
81,233,110,1634823770217797,3,44.628367,10.948502,72.542236,23,2.976390, ,0.000000, , , ,  0%,
81,233,111,1634823770267797,3,44.628367,10.948502,72.542236,23,2.976390, ,0.000000, , , ,  0%,
81,233,112,1634823770317788,3,44.628367,10.948502,72.542236,23,2.976395, ,0.000000, , , ,  0%,
81,233,113,1634823770367804,3,44.628367,10.948502,72.542236,23,2.976395, ,0.000000, , , ,  0%,
81,233,114,1634823770417815,3,44.628367,10.948502,72.542175,23,2.976395, ,0.000000, , , ,  0%,
