latitude,longitude
44.659325,10.929179
44.659288,10.929178
44.659251,10.929176
44.659209,10.929176
44.659166,10.929173
44.659125,10.929174
44.659084,10.929172
44.659069,10.929171
44.659047,10.929173
44.65902,10.929176
44.658998,10.929185
44.658983,10.929191
44.658962,10.929201
44.658949,10.929211
44.658921,10.929231
44.658901,10.929251
44.658869,10.92929
44.658846,10.929325
44.658819,10.929371
44.658797,10.929412
44.658777,10.929454
44.658755,10.929496
44.658738,10.929529
44.658713,10.929571
44.658689,10.929613
44.658666,10.929651
44.658639,10.929696
44.658618,10.929729
44.658614,10.92974
44.658604,10.929754
44.658581,10.929793
44.658555,10.929836
44.658544,10.929856
44.658527,10.92988
44.65852,10.929894
44.658516,10.929899
44.658493,10.929938
44.658474,10.929968
44.658448,10.93001
44.65844,10.930025
44.658429,10.930038
44.658423,10.930048
44.658415,10.930054
44.658404,10.930072
44.658391,10.930088
44.658364,10.930126
44.658356,10.930133
44.658354,10.930141
44.658347,10.930149
44.658335,10.930161
44.658308,10.930182
44.658289,10.930194
44.658257,10.930212
44.658223,10.930229
44.658189,10.930249
44.658153,10.930266
44.658143,10.930274
44.658123,10.930286
44.6581,10.930303
44.658093,10.930308
44.658082,10.930317
44.658066,10.930334
44.658053,10.930352
44.65804,10.93037
44.658033,10.930384
44.658027,10.930398
44.658012,10.930435
44.658004,10.930459
44.657994,10.930494
44.657989,10.930523
44.657985,10.930544
44.657976,10.930586
44.657961,10.930639
44.657957,10.930652
44.657946,10.930686
44.657929,10.930731
44.657914,10.930765
44.657892,10.930809
44.657869,10.930852
44.657849,10.930885
44.657842,10.930899
44.657827,10.930924
44.657805,10.930963
44.657782,10.931007
44.657766,10.931034
44.657758,10.931047
44.657734,10.93109
44.657702,10.931135
44.657673,10.931182
44.657644,10.931231
44.657614,10.931279
44.657586,10.931324
44.657556,10.93137
44.657526,10.931415
44.657497,10.931464
44.657469,10.931512
44.657438,10.93156
44.657407,10.931611
44.657375,10.931661
44.657342,10.931712
44.657309,10.931764
44.657276,10.931815
44.657255,10.931847
44.657224,10.931896
44.657205,10.931926
44.657177,10.931973
44.657148,10.93202
44.657117,10.932066
44.657086,10.932113
44.657057,10.932159
44.657027,10.932205
44.656997,10.932254
44.656967,10.932303
44.656937,10.93235
44.656906,10.932399
44.656877,10.932448
44.656846,10.932495
44.656816,10.932544
44.656787,10.932593
44.656758,10.932641
44.656728,10.932688
44.656698,10.932737
44.656668,10.932784
44.656639,10.93283
44.656609,10.932873
44.656599,10.932893
44.656569,10.932939
44.656539,10.932986
44.65651,10.933033
44.656491,10.933065
44.656461,10.933109
44.656432,10.933154
44.656402,10.933198
44.656373,10.933242
44.656344,10.933286
44.656315,10.933329
44.656287,10.933376
44.656259,10.933419
44.656231,10.933461
44.656205,10.933505
44.656177,10.933548
44.65615,10.933589
44.656121,10.933632
44.656095,10.933673
44.656068,10.933713
44.656041,10.933751
44.656014,10.933792
44.655989,10.93383
44.655957,10.933876
44.655923,10.933922
44.655909,10.933943
44.655878,10.933984
44.655862,10.934002
44.655833,10.934039
44.655807,10.934071
44.655782,10.934101
44.655771,10.934113
44.65576,10.934125
44.655733,10.934154
44.655714,10.934171
44.65571,10.934175
44.655695,10.93419
44.655685,10.9342
44.655668,10.934215
44.655662,10.93422
44.655643,10.934232
44.65564,10.934236
44.655632,10.934241
44.655625,10.934247
44.655622,10.934251
44.655615,10.934255
44.655585,10.934278
44.655573,10.934287
44.655538,10.934311
44.655503,10.934335
44.655477,10.934353
44.655455,10.934366
44.65544,10.934375
44.655423,10.934385
44.655399,10.934398
44.655377,10.93441
44.655369,10.934415
44.655338,10.934432
44.655297,10.934453
44.655264,10.934473
44.655225,10.934499
44.655184,10.934525
44.655169,10.934532
44.65513,10.93455
44.655084,10.934571
44.655069,10.934575
44.655029,10.934587
44.654987,10.934595
44.654942,10.934603
44.654905,10.934609
44.654865,10.934615
44.654823,10.934618
44.654798,10.93462
44.654762,10.934622
44.654719,10.934622
44.654698,10.934623
44.65468,10.934624
44.654642,10.934622
44.654604,10.934619
44.654563,10.934614
44.654526,10.934609
44.654481,10.934602
44.654443,10.934594
44.654401,10.934585
44.65437,10.934577
44.654331,10.934566
44.654311,10.934562
44.654271,10.93455
44.654233,10.934535
44.65419,10.93452
44.654172,10.934511
44.654133,10.934492
44.654091,10.934473
44.65405,10.934455
44.654015,10.934428
44.653978,10.934404
44.653942,10.934382
44.653925,10.934368
44.65389,10.934345
44.653867,10.934324
44.653831,10.9343
44.653798,10.934275
44.653764,10.934249
44.65373,10.934223
44.653698,10.934199
44.653666,10.934176
44.653637,10.934153
44.653599,10.934126
44.653564,10.9341
44.653531,10.934073
44.653499,10.934047
44.653463,10.934015
44.653431,10.933988
44.653407,10.933967
44.653371,10.933934
44.653337,10.933903
44.653303,10.933871
44.653272,10.933839
44.653242,10.933805
44.653222,10.933785
44.653213,10.933773
44.653181,10.933739
44.653148,10.933705
44.653141,10.933697
44.653111,10.933663
44.653107,10.933659
44.653097,10.933647
44.65308,10.93363
44.653069,10.933615
44.65306,10.933605
44.653051,10.933594
44.653035,10.933575
44.65303,10.933568
44.653001,10.933535
44.652991,10.933525
44.652986,10.933518
44.652963,10.933489
44.652957,10.933484
44.65295,10.933474
44.652944,10.933469
44.652924,10.933446
44.652915,10.933437
44.652908,10.933428
44.652897,10.933415
44.652892,10.933409
44.652869,10.933382
44.652849,10.93336
44.652839,10.933348
44.652831,10.93334
44.652821,10.933327
44.652819,10.933324
44.652817,10.933322
44.652814,10.93332
44.652813,10.933318
44.65281,10.933313
44.652808,10.933311
44.652807,10.933311
44.652806,10.933309
44.652801,10.933304
44.652801,10.933304
44.652801,10.933303
44.652801,10.933304
44.652802,10.933304
44.652803,10.933305
44.652804,10.933306
44.652803,10.933307
44.6528,10.933312
44.652798,10.933314
44.652798,10.933316
44.652798,10.933317
44.652798,10.933319
44.652798,10.93332
44.652798,10.933321
44.652799,10.933321
44.652798,10.933318
44.652797,10.933314
44.652795,10.933311
44.652793,10.933312
44.652793,10.933312
44.652792,10.933311
44.652792,10.933309
44.652791,10.933309
44.65279,10.933307
44.652785,10.933299
44.652783,10.933296
44.652781,10.933294
44.65278,10.933293
