latitude,longitude
44.630064,10.942082
44.630095,10.942049
44.630127,10.942017
44.630156,10.941986
44.630191,10.941951
44.630219,10.941923
44.630245,10.941899
44.630263,10.941881
44.630289,10.941857
44.630296,10.941851
44.630306,10.941841
44.630315,10.941833
44.630344,10.941809
44.630371,10.941788
44.630383,10.941776
44.630388,10.941773
44.630394,10.941768
44.630398,10.941764
44.630403,10.941759
44.630404,10.941758
44.630408,10.941755
44.630411,10.941753
44.630411,10.941753
44.630411,10.941754
44.630412,10.941755
44.630412,10.941755
44.630412,10.941755
44.630412,10.941755
44.630412,10.941755
44.630412,10.941755
44.630412,10.941755
44.630412,10.941755
44.630412,10.941755
44.630412,10.941755
44.630418,10.941751
44.630419,10.94175
44.630422,10.941748
44.630428,10.94174
44.630436,10.941736
44.630444,10.941728
44.630456,10.941716
44.630474,10.941699
44.630497,10.94168
44.63051,10.941673
44.63052,10.941668
44.63053,10.941666
44.630533,10.941666
44.63054,10.941666
44.630545,10.941667
44.63055,10.941669
44.63056,10.941672
44.63057,10.941679
44.630589,10.941692
44.630596,10.941699
44.630622,10.941725
44.630644,10.941749
44.63067,10.941776
44.630686,10.941795
44.630717,10.941828
44.630748,10.941864
44.630782,10.941899
44.630811,10.94193
44.630839,10.941962
44.630845,10.941968
44.630851,10.941974
44.630856,10.941982
44.630875,10.942001
44.630905,10.942031
44.630936,10.942064
44.630966,10.942097
44.630987,10.942117
44.63102,10.94215
44.631054,10.942184
44.631089,10.942221
44.631095,10.942227
44.631129,10.942263
44.631164,10.942299
44.6312,10.942336
44.631236,10.942372
44.631271,10.942409
44.6313,10.942439
44.631336,10.942477
44.631366,10.942508
44.631402,10.942546
44.631431,10.942578
44.63146,10.942609
44.631489,10.942641
44.631518,10.942672
44.631548,10.942701
44.631578,10.942733
44.631609,10.942765
44.63164,10.942797
44.631671,10.942829
44.631702,10.94286
44.631732,10.942892
44.631761,10.942923
44.631793,10.942956
44.631825,10.942988
44.631855,10.943021
44.631887,10.943053
44.631918,10.943087
44.63195,10.943122
44.631982,10.943155
44.632014,10.943191
44.632046,10.943225
44.632079,10.943259
44.632112,10.943293
44.632145,10.943328
44.632178,10.943363
44.63221,10.943397
44.632244,10.943432
44.632276,10.943467
44.632309,10.943502
44.632341,10.943538
44.632374,10.943571
44.632408,10.943608
44.632442,10.943645
44.632476,10.943679
44.632508,10.943713
44.632541,10.943747
44.632573,10.943784
44.632606,10.943818
44.632638,10.943852
44.632671,10.943885
44.632703,10.94392
44.632735,10.943954
44.632768,10.943988
44.632799,10.944022
44.632831,10.944054
44.632861,10.944086
44.632891,10.944116
44.632922,10.944146
44.632959,10.944184
44.632994,10.944223
44.633028,10.94426
44.633063,10.944296
44.633096,10.944333
44.63313,10.944367
44.633162,10.944404
44.633196,10.94444
44.633228,10.944475
44.633261,10.944509
44.633294,10.944545
44.633327,10.944579
44.633362,10.944615
44.633396,10.944649
44.633431,10.944687
44.633466,10.944723
44.633498,10.944758
44.633532,10.944794
44.633567,10.944831
44.633603,10.944867
44.633637,10.944906
44.633671,10.944943
44.633706,10.944979
44.63374,10.945016
44.633769,10.945046
44.633806,10.945082
44.633834,10.945114
44.633864,10.945146
44.633894,10.945178
44.633924,10.945209
44.633954,10.94524
44.633983,10.945269
44.634012,10.945301
44.634043,10.945332
44.634074,10.945364
44.634104,10.945397
44.634135,10.945428
44.634166,10.94546
44.634196,10.945492
44.634226,10.945524
44.634256,10.945556
44.634286,10.945588
44.634316,10.945621
44.634346,10.945653
44.634375,10.945683
44.634404,10.945714
44.634433,10.945745
44.634463,10.945775
44.634492,10.945806
44.634528,10.945844
44.634554,10.945879
44.634569,10.945894
44.634603,10.94593
44.634618,10.945945
44.634655,10.945979
44.63469,10.946018
44.63472,10.946049
44.63475,10.94608
44.63478,10.94611
44.63481,10.946142
44.63484,10.946173
44.634869,10.946205
44.634905,10.946243
44.634941,10.946279
44.63497,10.946312
44.635006,10.94635
44.635035,10.946382
44.635066,10.946413
44.635096,10.946445
44.635128,10.946479
44.635158,10.94651
44.635188,10.946543
44.635219,10.946575
44.63525,10.946606
44.635279,10.94664
44.63531,10.946671
44.63534,10.946703
44.635369,10.946734
44.635399,10.946765
44.635429,10.946797
44.63546,10.94683
44.63549,10.94686
44.635522,10.946892
44.635553,10.946924
44.635584,10.946954
44.635615,10.946986
44.635646,10.947017
44.635676,10.947049
44.635707,10.947081
44.635737,10.947112
44.635768,10.947145
44.635799,10.947178
44.635829,10.94721
44.63586,10.947241
44.635891,10.947273
44.635921,10.947305
44.635951,10.947336
44.63598,10.947367
44.636016,10.947405
44.636045,10.947436
44.636074,10.947466
44.636103,10.947497
44.636134,10.947527
44.636164,10.94756
44.636194,10.94759
44.636224,10.947619
44.636252,10.947651
44.636262,10.947658
44.636291,10.947689
44.636321,10.94772
44.636351,10.947751
44.636382,10.947783
44.636414,10.947815
44.636444,10.947846
44.636474,10.947877
44.636505,10.947908
44.636535,10.947938
44.636562,10.94797
44.636572,10.947975
44.636602,10.948004
44.636639,10.94804
44.636674,10.948074
44.636708,10.948109
44.636742,10.948141
44.636754,10.948155
44.636784,10.948183
44.636814,10.948214
44.636842,10.948242
44.636875,10.948276
44.636907,10.948303
44.636919,10.94831
44.63693,10.948316
44.636941,10.948319
44.636952,10.948322
44.636963,10.948324
44.636969,10.948323
44.636986,10.948321
44.636997,10.948317
44.637008,10.948312
44.637024,10.948302
44.637038,10.948289
44.637047,10.948278
44.637056,10.948267
44.637064,10.948254
44.637079,10.948228
44.637089,10.948206
44.637105,10.948167
44.637122,10.948121
44.637141,10.948069
44.637158,10.948017
44.637175,10.947967
44.63719,10.94792
44.637207,10.947868
44.637223,10.947819
44.637239,10.947773
44.637254,10.947727
44.637269,10.94768
44.637285,10.947633
44.637293,10.947611
44.637309,10.947562
44.637328,10.947512
44.637345,10.947467
44.637362,10.947418
44.63738,10.947371
44.637397,10.947322
44.637414,10.947277
44.637431,10.947229
44.63745,10.947179
44.637469,10.947127
44.637488,10.947074
44.637507,10.947021
44.637526,10.94697
44.637544,10.946918
44.637561,10.946867
44.637579,10.946815
